;;;;;;;;;;;;;;;;;
;Project Evergreen | Rate Setting;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Existing Debt Service Annual Reduction;4,940,000;;;;;;;;;;;;;;;
;Net Income Policy #1;10%;;;;;;;;;;;;;;;
;Net Income Policy #2;1.25;;;;;;;;;;;;;;;
;Income transfered as revenue;75%;;;;;;;;;;;;;;;
;Income transfered to reserve fund;25%;;;;;;;;;;;;;;;
;Operating Costs Growth;3.75%;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Figure 1.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Financial Forecast (US$);2018;2019;2020;2021;2022;2023;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Revenues From Previous Year Net Income;;25,064,331;25,393,500;27,023,906;28,512,784;28,927,170;;;;;;;;;;
;Revenues From Water Sales;;347,373,669;370,957,125;391,163,592;395,752,371;401,847,328;;;;;;;;;;
;Total Revenues;367,610,193;372,438,000;396,350,625;418,187,498;424,265,155;430,774,498;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Current Operating Costs;248,771,084;258,100,000;267,778,750;277,820,453;288,238,720;299,047,672;;;;;;;;;;
;New Operating Costs;;;;1,250,000;1,296,875;1,345,508;;;;;;;;;;
;Operating Costs;248,771,084;258,100,000;267,778,750;279,070,453;289,535,595;300,393,180;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Existing Debt Service;85,420,000;80,480,000;75,540,000;70,600,000;65,660,000;60,720,000;;;;;;;;;;
;Bond Issue #1;;;17,000,000;17,000,000;17,000,000;17,000,000;;;;;;;;;;
;Bond Issue #2;;;;13,500,000;13,500,000;13,500,000;;;;;;;;;;
;Total Debt Service;85,420,000;80,480,000;92,540,000;101,100,000;96,160,000;91,220,000;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Net Income;33,419,108;33,858,000;36,031,875;38,017,045;38,569,560;39,161,318;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Debt Service Coverage;1.39;1.42;1.39;1.38;1.40;1.43;;;;;;;;;;
;Net Income / Op Cost + Debt Serv;10.0%;10.0%;10.0%;10.0%;10.0%;10.0%;;;;;;;;;;
;Transfer to Reserve Fund;8,354,777;8,464,500;9,007,969;9,504,261;9,642,390;9,790,329;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;Water Volume Growth #1;;;0.9%;0.9%;0.9%;0.9%;;;;;;;;;;
;Water Volume Growth #2;;;;2.2%;;;;;;;;;;;;
;Revenue with Water Volume Growth;;;350,500,032;382,456,796;394,684,065;399,314,142;;;;;;;;;;
;Extra Revenue Needed;;;20,457,093;8,706,796;1,068,306;2,533,186;;;;;;;;;;
;Rate Increase Needed;;;5.8%;2.3%;0.3%;0.6%;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;(1) Operating costs do not change with the increases in water volume (at least in those ranges);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
